1,2,3,4,5,6,7
1,0.97,0.94,0.97,0.49,0.48,0.98
2,0.92,0.85,0.92,0.47,0.43,0.92
3,0.85,0.73,0.86,0.43,0.36,0.85
4,0.75,0.59,0.79,0.38,0.29,0.77
5,0.63,0.45,0.71,0.32,0.22,0.69
6,0.5,0.33,0.66,0.25,0.16,0.62
7,0.36,0.22,0.61,0.18,0.1,0.56
8,0.23,0.13,0.57,0.12,0.06,0.51
9,0.11,0.05,0.45,0.05,0.03,0.47
10,0,0,-,0,0,-
11,0.08,0.04,0.5,0.04,0.02,0.4
12,0.15,0.06,0.4,0.08,0.03,0.37
13,0.18,0.07,0.39,0.1,0.03,0.35
14,0.21,0.07,0.33,0.11,0.03,0.32
15,0.21,0.06,0.29,0.11,0.03,0.3
16,0.17,0.05,0.29,0.09,0.03,0.29
